sample_id,pop,lat,lon,q_BSwest,q_BSmideast,q_RS,locality
AME1,RS_pure,44.9,-68.3,1.00E-05,1.00E-05,0.99998,Aurora near Bangor
AME2,RS_pure,44.9,-68.3,1.00E-05,1.00E-05,0.99998,Aurora near Bangor
AMI1,BS_mideast,46.05,-84.78333333,0.01817,0.98182,1.00E-05,Allenville
ANB1,RS_introg,46,-66.2,1.00E-05,0.114811,0.885179,Albrights Corner
ANB2,RS_introg,46,-66.2,1.00E-05,0.16223,0.83776,Albrights Corner
ANL1,BS_introg,47.33333333,-53.11666667,1.00E-05,0.978255,0.021735,Audens Pond
AON1,BS_mideast,50.3,-89.18,0.006814,0.993176,1.00E-05,Armstrong
AQC1,BS_mideast,49.63333333,-63.36666667,1.00E-05,0.99998,1.00E-05,Anticosti Island
BMN1,BS_mideast,47.7,-92.47,0.04787,0.95212,1.00E-05,Big Rice Lake
BNB1,BS_introg,47.75,-65.11666667,1.00E-05,0.923598,0.076392,Bertrand
BQC1,BS_introg,48.93333333,-69.13333333,1.00E-05,0.989559,0.010431,Baie Laval
CAL1,BS_west,62.1,-145.7,0.999972,1.80E-05,1.00E-05,Copper River
CME1,BS_introg,45.5,-68.8,1.00E-05,0.976393,0.023597,Cedar Lake
CNB1,BS_introg,48.5,-67.11666667,1.00E-05,0.898654,0.101336,Lac Cassault
CON1,BS_mideast,50.83333333,-94.28333333,0.038566,0.961424,1.00E-05,Call Lake
CQC1,BS_mideast,49.6,-71.3,1.00E-05,0.99998,1.00E-05,Chute des Passes
CSK1,BS_mideast,53.53,-105.77,0.058646,0.941344,1.00E-05,Christopher Lake
CWI1,BS_mideast,46.11666667,-90.93333333,0.046186,0.953804,1.00E-05,Clam Lake
DMB1,BS_mideast,51.63,-100.78,1.00E-05,0.99998,1.00E-05,Duck Mountain
EMB1,BS_west,57.6,-96.7,0.601181,0.398809,1.00E-05,Elliot Lake
ENB1,BS_introg,45.58333333,-66.48333333,1.00E-05,0.978174,0.021816,Enniskillen
EQC1,BS_introg,46.93333333,-72.1,1.00E-05,0.969549,0.030441,Escale au Lac
FAL1,BS_west,64.7,-148.3,0.99998,1.00E-05,1.00E-05,Fairbanks
FMB1,BS_west,54.58333333,-101,0.564596,0.435394,1.00E-05,First Central Lake
FMB2,BS_west,54.58333333,-101,0.582345,0.417645,1.00E-05,First Central Lake
FNB1,RS_pure,45.4,-65.4,1.00E-05,1.00E-05,0.99998,Fundy National Park
FNB2,RS_introg,45.4,-65.4,1.00E-05,0.032177,0.967813,Fundy National Park
FNS1,BS_introg,45.93333333,-60.16666667,1.00E-05,0.980422,0.019568,French Road Cape Breton
FWI1,BS_introg,44.21666667,-90.36666667,1.00E-05,0.995288,0.004702,Fort McCoy
FWI2,BS_mideast,44.21666667,-90.36666667,0.045725,0.954265,1.00E-05,Fort McCoy
GAB1,BS_west,55,-115.3,0.99998,1.00E-05,1.00E-05,Grizzly Ridge Wildland
RNB1,BS_mideast,47.92,-67.82,1.00E-05,0.99998,1.00E-05,Grand Falls
